"","coefs.Estimate","coefs.Std..Error","coefs.z.value","coefs.Pr...z..","coefs.rep","preds.covariate_level","preds.predicted","preds.std.error","preds.conf.low","preds.conf.high","preds.group","preds.label"
"reported.exposure_HSX:nodirection146",0.0537634077714652,0.57892631126889,0.0928674456920547,0.926008868523463,147,"HSX:nodirection",0.276387284680162,0.598649309808833,0.105667115717377,0.552524959805117,"1","original"
"reported.exposure_MSM146",0.305043056294693,0.18370337817928,1.66051957954195,0.0968099723633369,147,"MSM",0.32933957165989,0.208326754295642,0.246106540297927,0.424858321857147,"1","original"
"reported.exposure_MTC:IntraP146",0.0900157996749614,0.363867362847003,0.24738629749767,0.804609277699522,147,"MTC:IntraP",0.283696115685243,0.399324212098649,0.15331138822478,0.464176543668954,"1","original"
"reported.exposure_MTC:notiming146",-0.423404152180375,0.463968608654949,-0.912570687503683,0.361468376663142,147,"MTC:notiming",0.191604077013823,0.455655470396487,0.0884516058685705,0.366664627662207,"1","original"
"reported.exposure_MTC:PostP146",-0.319327283047166,0.923022679693382,-0.345958219740866,0.729374113919239,147,"MTC:PostP",0.208243812937154,0.928569574089112,0.0408748404368361,0.618790811339184,"1","original"
"reported.exposure_MTC:PreP146",-0.508598873833325,0.354389719072139,-1.4351400350014,0.151247197129008,147,"MTC:PreP",0.178753503878862,0.420550914518987,0.0871389135282276,0.331690103370803,"1","original"
"reported.exposure_PWID146",0.588595924655669,0.294173688482692,2.00084490115879,0.04540910688722,147,"PWID",0.394694624243614,0.31944759795914,0.258510151268789,0.549458997719699,"1","original"
"(Intercept)147",-1.23160424704787,0.247039422995117,-4.98545629728181,6.18157512291694e-07,148,"HSX:MTF",0.225900768321734,0.247039422995117,0.152413895051276,0.321384629197213,"1","original"
"reported.exposure_HSX:FTM147",-0.693079633457084,0.231030843214443,-2.99994417980706,0.00270029087795666,148,"HSX:FTM",0.127340162604085,0.284750592960176,0.0770738770346576,0.203172479455781,"1","original"
"reported.exposure_HSX:nodirection147",0.313027758585938,0.545263510889473,0.574085285984578,0.565910089782925,148,"HSX:nodirection",0.285248033353736,0.568759389482276,0.115748232127972,0.548886183305363,"1","original"
"reported.exposure_MSM147",0.308611614542637,0.191058165522098,1.61527571302334,0.106251000719858,148,"MSM",0.284348517412933,0.227503170193228,0.20279913734604,0.382938424469327,"1","original"
"reported.exposure_MTC:IntraP147",0.152276508463411,0.38808038239476,0.392383937378504,0.694774552526695,148,"MTC:IntraP",0.25363325697407,0.426003468341091,0.128500869789264,0.439208167972406,"1","original"
"reported.exposure_MTC:notiming147",-0.266247470563469,0.491427531759061,-0.541783789789796,0.58796745970888,148,"MTC:notiming",0.18274615112403,0.477963652229797,0.0805688354292896,0.363302191572912,"1","original"
"reported.exposure_MTC:PostP147",-0.459061779173989,1.23395707932228,-0.372024105916323,0.709874901515502,148,"MTC:PostP",0.155688271276106,1.24195582515497,0.0159086660898344,0.677765684531172,"1","original"
"reported.exposure_MTC:PreP147",-0.481575869405797,0.384681281784453,-1.25188277207529,0.210612583234809,148,"MTC:PreP",0.152751694856112,0.453681856428131,0.0689853907333608,0.304919466393341,"1","original"
"reported.exposure_PWID147",0.599439848575849,0.320747502657162,1.8688839152602,0.0616389665931072,148,"PWID",0.347019929140927,0.343019554869124,0.213413622044061,0.510034046442198,"1","original"
"(Intercept)148",-1.28031973362097,0.252773186183391,-5.06509314912887,4.08200699405011e-07,149,"HSX:MTF",0.217495802756012,0.252773186183391,0.144829202872185,0.31326620743534,"1","original"
"reported.exposure_HSX:FTM148",-0.645687502656729,0.227211665289791,-2.84178852275566,0.00448612386227646,149,"HSX:FTM",0.127193177671613,0.29467065439718,0.0756096089311762,0.206121706141743,"1","original"
"reported.exposure_HSX:nodirection148",0.435649983481988,0.521956186696594,0.834648567419368,0.403915608162413,149,"HSX:nodirection",0.300552193079153,0.546545145746466,0.128321866657107,0.556393791721326,"1","original"
"reported.exposure_MSM148",0.238094289360042,0.190425629927488,1.25032690951688,0.211180152283583,149,"MSM",0.260720821247067,0.2307865414132,0.18323846917426,0.356659603933868,"1","original"
"reported.exposure_MTC:IntraP148",0.0532804660115056,0.38365033348602,0.138877674176314,0.889546813412362,149,"MTC:IntraP",0.22670004321181,0.426493203812294,0.112750322762307,0.403445799582455,"1","original"
"reported.exposure_MTC:notiming148",-0.25503095216857,0.49352203937307,-0.516756966907781,0.605325823598727,149,"MTC:notiming",0.17721216499168,0.47703391849462,0.0779652293404459,0.354256443484667,"1","original"
"reported.exposure_MTC:PostP148",-13.678901881942,256.000401732507,-0.0534331266254611,0.957386811673014,149,"MTC:PostP",3.18634253021205e-07,256.000526758349,2.22044604925031e-16,1,"1","original"
"reported.exposure_MTC:PreP148",-0.653894029746308,0.379787406477524,-1.72173699968381,0.0851171716246764,149,"MTC:PreP",0.12628491335187,0.45604058235012,0.0558277858362079,0.261074625448661,"1","original"
"reported.exposure_PWID148",0.75589367461361,0.312444178810268,2.41929191157256,0.015550755233894,149,"PWID",0.371817856857193,0.336546285347136,0.234325735550837,0.533746751322836,"1","original"
